l1,subject,list,context,mat_verb,wh,emb_verb,response
,9643,green,mst,predict,where,display,1
,9655,green,mst,predict,where,locate,1
,9655,green,mst,predict,where,display,1
,9661,blue,mst,predict,where,find,1
,9661,blue,mst,predict,where,hide,0
,9676,green,mst,predict,where,locate,1
,9676,green,mst,predict,where,display,1
,9682,blue,mst,predict,where,find,1
,9682,blue,mst,predict,where,hide,1
,9703,green,mst,predict,where,locate,1
,9703,green,mst,predict,where,display,1
,9712,blue,mst,predict,where,find,1
,9712,blue,mst,predict,where,hide,1
,9715,red,mst,predict,where,view,1
,9715,red,mst,predict,where,bury,1
,9814,green,mst,predict,where,locate,1
,9814,green,mst,predict,where,display,1
,9847,blue,mst,predict,where,find,1
,9847,blue,mst,predict,where,hide,1
,9848,red,mst,predict,where,view,1
,9848,red,mst,predict,where,bury,1
,9871,green,mst,predict,where,locate,0
,9871,green,mst,predict,where,display,1
,9982,red,mst,predict,where,view,1
,9982,red,mst,predict,where,bury,0
,5704,red,maf,know,who,invite,0
,5704,red,maf,know,who,select,0
,6487,green,maf,know,who,recruit,0
,6487,green,maf,know,who,call,0
,6601,red,maf,know,who,invite,0
,6601,red,maf,know,who,select,0
,6985,green,maf,know,who,recruit,0
,6985,green,maf,know,who,call,0
,7009,blue,maf,know,who,ask,0
,7009,blue,maf,know,who,contact,0
,7042,red,maf,know,who,invite,0
,7042,red,maf,know,who,select,0
,7099,red,maf,know,who,invite,0
,7099,red,maf,know,who,select,0
,7351,red,maf,know,who,invite,0
,7351,red,maf,know,who,select,0
,7378,red,maf,know,who,invite,1
,7378,red,maf,know,who,select,0
,7387,green,maf,know,who,recruit,0
,7387,green,maf,know,who,call,0
,7408,blue,maf,know,who,ask,0
,7408,blue,maf,know,who,contact,0
,7543,green,maf,know,who,recruit,0
,7543,green,maf,know,who,call,0
,7564,red,maf,know,who,invite,0
,7564,red,maf,know,who,select,0
,7645,red,maf,know,who,invite,0
,7645,red,maf,know,who,select,0
,7648,red,maf,know,who,invite,0
,7648,red,maf,know,who,select,0
,7678,blue,maf,know,who,ask,0
,7678,blue,maf,know,who,contact,0
,7750,green,maf,know,who,recruit,0
,7750,green,maf,know,who,call,0
,7846,blue,maf,know,who,ask,0
,7846,blue,maf,know,who,contact,1
,7906,green,maf,know,who,recruit,0
,7906,green,maf,know,who,call,0
,7948,blue,maf,know,who,ask,0
,7948,blue,maf,know,who,contact,0
,7966,green,maf,know,who,recruit,0
,7966,green,maf,know,who,call,0
,7987,blue,maf,know,who,ask,0
,7987,blue,maf,know,who,contact,0
,7990,blue,maf,know,who,ask,0
,7990,blue,maf,know,who,contact,0
,8140,blue,maf,know,who,ask,0
,8140,blue,maf,know,who,contact,0
,8167,blue,maf,know,who,ask,0
,8167,blue,maf,know,who,contact,0
,8428,green,maf,know,who,recruit,0
,8428,green,maf,know,who,call,0
,8515,blue,maf,know,who,ask,0
,8515,blue,maf,know,who,contact,0
,8563,green,maf,know,who,recruit,0
,8563,green,maf,know,who,call,0
,8587,blue,maf,know,who,ask,0
,8587,blue,maf,know,who,contact,0
,8593,blue,maf,know,who,ask,0
,8593,blue,maf,know,who,contact,0
,8602,blue,maf,know,who,ask,0
,8602,blue,maf,know,who,contact,0
,8605,green,maf,know,who,recruit,0
,8605,green,maf,know,who,call,0
,8608,blue,maf,know,who,ask,0
,8608,blue,maf,know,who,contact,0
,8650,green,maf,know,who,recruit,1
,8650,green,maf,know,who,call,0
,8653,green,maf,know,who,recruit,0
,8653,green,maf,know,who,call,0
,8719,green,maf,know,who,recruit,0
,8719,green,maf,know,who,call,0
,8749,green,maf,know,who,recruit,0
,8749,green,maf,know,who,call,0
,8767,red,maf,know,who,invite,1
,8767,red,maf,know,who,select,0
,8779,green,maf,know,who,recruit,0
,8779,green,maf,know,who,call,0
,8968,red,maf,know,who,invite,0
,8968,red,maf,know,who,select,0
,9055,green,maf,know,who,recruit,0
,9055,green,maf,know,who,call,0
,9157,blue,maf,know,who,ask,0
,9157,blue,maf,know,who,contact,0
,9313,blue,maf,know,who,ask,0
,9313,blue,maf,know,who,contact,0
,9325,red,maf,know,who,invite,0
,9325,red,maf,know,who,select,0
,9421,blue,maf,know,who,ask,0
,9421,blue,maf,know,who,contact,0
,9430,green,maf,know,who,recruit,0
,9430,green,maf,know,who,call,0
,9490,red,maf,know,who,invite,0
,9490,red,maf,know,who,select,0
,9493,blue,maf,know,who,ask,0
,9493,blue,maf,know,who,contact,0
,9502,red,maf,know,who,invite,0
,9502,red,maf,know,who,select,0
,9511,blue,maf,know,who,ask,0
